Game,Score
Wolfenstein: The New Order,7.8
Mario Kart 8,9
Sportsfriends,8.7
Sportsfriends,8.7
Sportsfriends,8.7
Super TIME Force,7.5
Super TIME Force,7.5
The Walking Dead: Season Two -- Episode 3: In Harm's Way,9
Borderlands 2,5.4
Bound by Flame,7
Bound by Flame,7
God of War Collection,6.3
Outlast: Whistleblower,6.4
Outlast: Whistleblower,6.4
Tesla Effect: A Tex Murphy Adventure,6.8
JoJo's Bizarre Adventure: All Star Battle,7.4
The Amazing Spider-Man 2,4.5
"Sir, You are Being Hunted",7.7
Republique -- Episode 2: Metamorphosis,7.5
The Amazing Spider-Man 2,5.4
The Amazing Spider-Man 2,5.4
The Amazing Spider-Man 2,5.4
The Amazing Spider-Man 2,5.4
The Amazing Spider-Man 2,5.4
The Amazing Spider-Man 2,5.4
Starlight Inception,3.8
Wargame: Red Dragon,7.6
Daylight,5.8
Daylight,5.8
Child of Light,9.3
Child of Light,9.3
Child of Light,9.3
Child of Light,9.3
Child of Light,9.3
Child of Light,9.3
The Last Federation,6.9
Kirby: Triple Deluxe,6
"Batman: Arkham Origins -- Cold, Cold Heart",7
FTL: Faster Than Light,9.6
FTL: Faster Than Light,9.6
Mercenary Kings,8
Mercenary Kings,8
Mario Golf World Tour,8.6
NES Remix 2,7.7
War of the Vikings,3.5
LEGO: The Hobbit,7
2014 FIFA World Cup Brazil,7.5
2014 FIFA World Cup Brazil,7.5
Trials Fusion,8.2
Trials Fusion ,8.2
Trials Fusion,8.2
Trials Fusion,8.2
Boom Beach,7
RBI Baseball 14,4.5
Pure Chess,6
Pure Chess,6
Pure Chess,6
Pure Chess,6
Football Manager Classic 2014,7.5
MLB 14: The Show,7.1
LEGO: The Hobbit,7.4
LEGO: The Hobbit,7.4
The Wolf Among Us: Episode 3 -- A Crooked Mile,9.2
The Wolf Among Us: Episode 3 -- A Crooked Mile,9.2
The Wolf Among Us: Episode 3 -- A Crooked Mile,9.2
Kinect Sports Rivals,7.3
Don Bradman Cricket 14,6.8
Don Bradman Cricket 14,6.8
MLB 14: The Show,8.1
MLB 14: The Show,8.1
Dead Nation: Apocalypse Edition,8
Betrayer,5
Age of Wonders III,7.1
Goat Simulator,8
Smite ,8.5
Hearthstone: Heroes of WarCraft,9
Hearthstone: Heroes of WarCraft,9
Steel Diver: Sub Wars,7.8
Yoshi's New Island,7.9
Dark Souls II,9
Dark Souls II,9
Dark Souls II,9
Titanfall,8.9
Titanfall,8.9
Titanfall (Collector's Edition),8.9
Titanfall,8.9
Final Fantasy X / X-2 HD Remaster (Limited Edition),9.3
Final Fantasy X / X-2 HD Remaster,9.3
Final Fantasy X / X-2 HD Remaster,9.3
Basement Crawl,3
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Witch and the Hundred Knight,5.8
South Park: The Stick of Truth,9
South Park: The Stick of Truth,9
South Park: The Stick of Truth,9
Thief ,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
Borderlands 2: Mad Moxxi and the Wedding Day Massacre,5.7
Lightning Returns: Final Fantasy XIII,7
Flappy Bird,5.4
Flappy Bird,5.4
Flappy Bird,5.4
Dustforce,7.7
Dustforce,7.7
Jazzpunk,7
Dragon Ball Z: Battle of Z,6.6
Dragon Ball Z: Battle of Z,6.6
Dragon Ball Z: Battle of Z,6.6
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,8.5
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,8.5
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,8.5
Unepic,7
The Castle Doctrine,4.5
Surge Deluxe,7.2
Rekoil,3
Fable Anniversary ,8
Octodad: Dadliest Catch,7.8
Blackguards,7.8
Might and Magic X Legacy,7.3
Insurgency,7.5
Tomb Raider: Definitive Edition,9.1
Tomb Raider: Definitive Edition,9.1
Consortium,7.2
Minecraft,9.5
KickBeat,6.5
OlliOlli,7.7
Assassin's Creed Liberation HD,5.2
Assassin's Creed Liberation HD,5.2
Assassin's Creed Liberation HD,5.2
X-Men: Battle of the Atom,4
Broken Age: Act 1,9.5
Joe Danger Infinity,8.6
Nidhogg,9
Continue?9876543210,7.9
The Banner Saga,8.6
Don't Starve,7.5
Don't Starve,7.5
Not the Robots,6.5
Halo: Spartan Assault,5.8
Zumba Fitness World Party,7.2
Metal Gear Rising: Revengeance ,8.5
Dr. Luigi,7.5
"Sorcery Saga: The Curse of the Great Curry God (Hot and Spicy, Everything Nicey Limited Edition)",7.5
Sorcery Saga: The Curse of the Great Curry God,7.5
Terraria,9.2
Max: The Curse of Brotherhood,6
NES Remix,8
Ravensword: Shadowlands,5.6
Borderlands 2: How Marcus Saved Mercenary Day,7.3
Borderlands 2: How Marcus Saved Mercenary Day,7.3
Ys: Memories of Celceta,7.5
The Room Two,8.6
Republique,8.5
Cut The Rope 2,8
Samurai Gunn,8.3
Grand Theft Auto: San Andreas,8.3
AquaPazza,7
The Walking Dead: Season Two -- Episode 1: All That Remains,8
The Walking Dead: Season Two -- Episode 1: All That Remains,8
The Walking Dead: Season Two -- Episode 1: All That Remains,8
The Walking Dead: A Telltale Game Series -- Season Two,8
The Walking Dead: A Telltale Game Series -- Season Two,8
The Walking Dead: A Telltale Game Series -- Season Two,8
The Walking Dead: Season Two -- Episode 1: All That Remains,8
The Walking Dead: Season Two -- Episode 1: All That Remains,8
The Walking Dead: A Telltale Game Series -- Season Two ,8
The Walking Dead: Season Two -- Episode 1: All That Remains,8
Assassin's Creed IV: Black Flag -- Freedom Cry,7
World of Warplanes,7.8
Angry Birds Go!,5
Angry Birds Go!,5
Saint Seiya: Brave Soldiers,5.5
Doki-Doki Universe,7
Doki-Doki Universe,7
Doki-Doki Universe,7
Assassin's Creed Pirates,5.5
Air Conflicts: Vietnam,3.5
Air Conflicts: Vietnam,3.5
Air Conflicts: Vietnam,3.5
Young Justice: Legacy,4.8
Young Justice: Legacy,4.8
Young Justice: Legacy,4.8
The Novelist,6.5
The Amazing Spider-Man,4.8
Peggle 2,9
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Gran Turismo 6 ,8
The Guided Fate Paradox,7
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
Bravely Default,8.6
Warframe,7.5
Escape Plan,8
Flower,9
Tiny Brains,4.5
Tiny Brains,4.5
Tiny Brains,4.5
Redshirt,7.4
X Rebirth,4.3
DC Universe Online,8
FIFA 14,9.1
FIFA 14,9.1
FIFA 14,9.1
Baldur's Gate II -- Enhanced Edition,8.3
Device 6,9.5
Deadfall Adventures,4
Chivalry: Deadliest Warrior,8.1
Battlefield 4,8.5
Zoo Tycoon ,5.5
Fighter Within,2.7
Injustice: Gods Among Us -- Ultimate Edition,8.2
Injustice: Gods Among Us -- Ultimate Edition,8.2
Injustice: Gods Among Us -- Ultimate Edition,8.2
Mario Party: Island Tour,5.5
Super Motherload,6
Just Dance 2014,7.5
Ryse: Son of Rome,6.8
Wii Fit U,7.5
Need for Speed Rivals,8
Need for Speed Rivals,8
Need for Speed Rivals,8
SimCity: Cities of Tomorrow,7.5
Forza Motorsport 5,8.8
Tearaway,9.3
Xbox One,7.8
Battlefield 4,8.5
Super Mario 3D World,9.6
NBA Live 14,4.3
NBA Live 14,4.3
The Pinball Arcade,9
The Pinball Arcade,9
Dead Rising 3,8.3
Powerstar Golf,7
Crimson Dragon ,5.9
LocoCycle,6.4
Killer Instinct,8.4
Madden NFL 25,7.6
Madden NFL 25,7.6
The Legend of Zelda: A Link Between Worlds,9.4
PlayStation 4,8.2
Killzone: Shadow Fall,8
Knack,5.9
Resogun,9
Contrast,7.5
Contrast,7.5
Flower,9.5
Stick it to The Man,8.6
NBA 2K14,8.9
NBA 2K14,8.9
